group,fte,fy,basis,doc_id,page,notes,fragment
District Level Administration,7.0,2022,actual-acfr,acfr-fy2025,142,Sch 15,acfr-statistical
Educational Assistants,647.5,2022,actual-acfr,acfr-fy2025,142,Sch 15,acfr-statistical
Other Staff,2383.0,2022,actual-acfr,acfr-fy2025,142,Sch 15,acfr-statistical
School Level Administration,184.5,2022,actual-acfr,acfr-fy2025,142,Sch 15,acfr-statistical
Teachers,2720.8,2022,actual-acfr,acfr-fy2025,142,Sch 15,acfr-statistical
Total FTE,5942.8,2022,actual-acfr,acfr-fy2025,142,Sch 15,acfr-statistical
All Funds - 1000 Instruction,3703.25,2022-23,adopted,budget-fy2022-23-vol1,141,,fy2022-23
All Funds - 1000 Instruction,3703.25,2022-23,adopted,budget-fy2023-24-vol1,87,Budget FTE columns of all-funds requirements-by-function table,fy2023-24
All Funds - 2000 Support Services,2536.85,2022-23,adopted,budget-fy2022-23-vol1,141,,fy2022-23
All Funds - 2000 Support Services,2536.85,2022-23,adopted,budget-fy2023-24-vol1,87,,fy2023-24
