source,amount_k,fy,basis,doc_id,page,notes,fragment
Total revenues,744013,2016,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
2000 - REVENUE - INTERMEDIATE SOURCES,13121,2016-17,actual-budgetary,budget-fy2019-20-book,82,,fy2019-20
2000 - Revenue - Intermediate Sources,13121,2016-17,actual-budgetary,budget-fy2020-21-vol1,117,,fy2020-21
3000 - REVENUE FROM STATE SOURCES,213688,2016-17,actual-budgetary,budget-fy2019-20-book,82,,fy2019-20
3000 - Revenue From State Sources,213688,2016-17,actual-budgetary,budget-fy2020-21-vol1,117,,fy2020-21
4000 - REVENUE FROM FEDERAL SOURCES,7,2016-17,actual-budgetary,budget-fy2019-20-book,82,,fy2019-20
4000 - Revenue From Federal Sources,7,2016-17,actual-budgetary,budget-fy2020-21-vol1,117,,fy2020-21
5200 - INTERFUND TRANSFERS,0,2016-17,actual-budgetary,budget-fy2019-20-book,82,,fy2019-20
5200 - Interfund Transfers,0,2016-17,actual-budgetary,budget-fy2020-21-vol1,117,printed as '-',fy2020-21
ALL OTHER BUDGET RESOURCES,25,2016-17,actual-budgetary,budget-fy2019-20-book,82,,fy2019-20
All Other Budget Resources,25,2016-17,actual-budgetary,budget-fy2020-21-vol1,117,,fy2020-21
Beginning Fund Balance (376510),37835.045,2016-17,actual-budgetary,budget-fy2018-19-book,81,,fy2018-19
Beginning Fund Balance,25167.901,2016-17,approved,budget-fy2016-17-book,87,account 376510,fy2016-17
Beginning Fund Balance,25167.901,2016-17,proposed,budget-fy2016-17-book,87,account 376510,fy2016-17
Beginning Fund Balance,25719.308,2016-17,adopted,budget-fy2016-17-book,87,account 376510,fy2016-17
BEGINNING FUND BALANCE,37835,2016-17,actual-budgetary,budget-fy2019-20-book,82,,fy2019-20
Beginning Fund Balance,37835,2016-17,actual-budgetary,budget-fy2020-21-vol1,117,native unit thousands; Summary of Resources by Major Object - General Funds,fy2020-21
Beginning Fund Balance,38024.289,2016-17,revised,budget-fy2017-18-book,87,,fy2017-18
Common School Fund,4490,2016-17,adopted,budget-fy2016-17-book,89,account 431030; component of State Sources,fy2016-17
Common School Fund,4490,2016-17,approved,budget-fy2016-17-book,89,account 431030; component of State Sources,fy2016-17
Common School Fund,4490,2016-17,proposed,budget-fy2016-17-book,89,account 431030; component of State Sources,fy2016-17
CURRENT YEAR LOCAL OPTION PROPERTY TAXES,82878,2016-17,actual-budgetary,budget-fy2019-20-book,82,,fy2019-20
Current Year Local Option Property Taxes,82878,2016-17,actual-budgetary,budget-fy2020-21-vol1,117,,fy2020-21
CURRENT YEAR PROPERTY TAXES OTHER THAN LOCAL OPTION,237062,2016-17,actual-budgetary,budget-fy2019-20-book,82,,fy2019-20
Current Year Property Taxes Other Than Local Option,237062,2016-17,actual-budgetary,budget-fy2020-21-vol1,117,,fy2020-21
Earnings on Investment (detail subtotal),1567.003,2016-17,actual-budgetary,budget-fy2018-19-book,82,,fy2018-19
Earnings on Investment,1000,2016-17,adopted,budget-fy2016-17-book,88,printed subtotal,fy2016-17
Earnings on Investment,1000,2016-17,approved,budget-fy2016-17-book,88,printed subtotal,fy2016-17
Earnings on Investment,1000,2016-17,proposed,budget-fy2016-17-book,88,printed subtotal,fy2016-17
Earnings on Investment,1000.000,2016-17,revised,budget-fy2017-18-book,88,,fy2017-18
Extra-Curricular Activities (detail subtotal),653.650,2016-17,actual-budgetary,budget-fy2018-19-book,82,,fy2018-19
Extra-curricular Activities,679.5,2016-17,adopted,budget-fy2016-17-book,88,printed subtotal,fy2016-17
Extra-curricular Activities,679.5,2016-17,approved,budget-fy2016-17-book,88,printed subtotal,fy2016-17
Extra-curricular Activities,679.5,2016-17,proposed,budget-fy2016-17-book,88,printed subtotal,fy2016-17
Extra-Curricular Activities,679.500,2016-17,revised,budget-fy2017-18-book,88,,fy2017-18
Federal Sources (detail subtotal),7.016,2016-17,actual-budgetary,budget-fy2018-19-book,83,,fy2018-19
Federal Sources,0,2016-17,adopted,budget-fy2016-17-book,89,printed subtotal; 2016/17 columns printed as dash (zero),fy2016-17
Federal Sources,0,2016-17,approved,budget-fy2016-17-book,89,printed subtotal; 2016/17 columns printed as dash (zero),fy2016-17
Federal Sources,0,2016-17,proposed,budget-fy2016-17-book,89,printed subtotal; 2016/17 columns printed as dash (zero),fy2016-17
Federal Sources,0.000,2016-17,revised,budget-fy2017-18-book,89,,fy2017-18
Food Service Sales (detail subtotal),0.367,2016-17,actual-budgetary,budget-fy2018-19-book,82,,fy2018-19
Food Service Sales,0.000,2016-17,revised,budget-fy2017-18-book,88,,fy2017-18
Intermediate Sources (detail subtotal),13120.580,2016-17,actual-budgetary,budget-fy2018-19-book,83,,fy2018-19
Intermediate Sources,13021.202,2016-17,adopted,budget-fy2016-17-book,89,printed subtotal,fy2016-17
Intermediate Sources,13021.202,2016-17,approved,budget-fy2016-17-book,89,printed subtotal,fy2016-17
Intermediate Sources,13021.202,2016-17,proposed,budget-fy2016-17-book,89,printed subtotal,fy2016-17
Intermediate Sources,13021.202,2016-17,revised,budget-fy2017-18-book,89,,fy2017-18
Other Revenue from Local Sources (detail subtotal),7727.630,2016-17,actual-budgetary,budget-fy2018-19-book,83,,fy2018-19
OTHER REVENUE FROM LOCAL SOURCES,15686,2016-17,actual-budgetary,budget-fy2019-20-book,82,,fy2019-20
Other Revenue From Local Sources,15686,2016-17,actual-budgetary,budget-fy2020-21-vol1,117,,fy2020-21
Other Revenue from Local Sources,8237.056,2016-17,proposed,budget-fy2016-17-book,89,printed subtotal,fy2016-17
Other Revenue from Local Sources,8392.056,2016-17,approved,budget-fy2016-17-book,89,printed subtotal,fy2016-17
Other Revenue from Local Sources,8397.72,2016-17,adopted,budget-fy2016-17-book,89,printed subtotal,fy2016-17
Other Revenue from Local Sources,8397.720,2016-17,revised,budget-fy2017-18-book,89,,fy2017-18
Other Sources (detail subtotal),24.521,2016-17,actual-budgetary,budget-fy2018-19-book,83,,fy2018-19
Other Sources,100,2016-17,adopted,budget-fy2016-17-book,89,printed subtotal,fy2016-17
Other Sources,100,2016-17,approved,budget-fy2016-17-book,89,printed subtotal,fy2016-17
Other Sources,100,2016-17,proposed,budget-fy2016-17-book,89,printed subtotal,fy2016-17
Other Sources,100.000,2016-17,revised,budget-fy2017-18-book,89,,fy2017-18
Revenue from Taxes (detail subtotal),325600.800,2016-17,actual-budgetary,budget-fy2018-19-book,82,,fy2018-19
Revenue from Taxes,320700.76,2016-17,adopted,budget-fy2016-17-book,88,printed subtotal,fy2016-17
Revenue from Taxes,320700.76,2016-17,approved,budget-fy2016-17-book,88,printed subtotal,fy2016-17
Revenue from Taxes,320700.76,2016-17,proposed,budget-fy2016-17-book,88,printed subtotal,fy2016-17
Revenue from Taxes,320700.760,2016-17,revised,budget-fy2017-18-book,88,,fy2017-18
State School Fund General Support,218306.69,2016-17,adopted,budget-fy2016-17-book,89,account 431010; component of State Sources,fy2016-17
State School Fund General Support,218306.69,2016-17,approved,budget-fy2016-17-book,89,account 431010; component of State Sources,fy2016-17
State School Fund General Support,218306.69,2016-17,proposed,budget-fy2016-17-book,89,account 431010; component of State Sources,fy2016-17
State Sources (detail subtotal),213687.766,2016-17,actual-budgetary,budget-fy2018-19-book,83,,fy2018-19
State Sources,222796.69,2016-17,adopted,budget-fy2016-17-book,89,printed subtotal,fy2016-17
State Sources,222796.69,2016-17,approved,budget-fy2016-17-book,89,printed subtotal,fy2016-17
State Sources,222796.69,2016-17,proposed,budget-fy2016-17-book,89,printed subtotal,fy2016-17
State Sources,222796.690,2016-17,revised,budget-fy2017-18-book,89,,fy2017-18
Total Resources,591888.109,2016-17,proposed,budget-fy2016-17-book,89,Total Resources by Account,fy2016-17
