fund_name,resources_k,requirements_k,fy,basis,doc_id,page,notes
Capital Projects Funds (400) [group total],514233,514233,2022-23,proposed,budget-fy2022-23-vol1,220,
Capital Projects Funds (400) [group total],516864,516864,2022-23,approved,budget-fy2022-23-vol1,220,
Capital Projects Funds (400) [group total],516864,516864,2022-23,adopted,budget-fy2022-23-vol1,220,
Self Insurance Fund (601),9909,9908,2018-19,actual-budgetary,budget-fy2022-23-vol1,261,resources print 1k higher than requirements in 2018-19 and 2019-20 (rounding)
Self Insurance Fund (601),9067,9066,2019-20,actual-budgetary,budget-fy2022-23-vol1,261,
Self Insurance Fund (601),7673,7673,2020-21,actual-budgetary,budget-fy2022-23-vol1,261,
Self Insurance Fund (601),8565,8565,2021-22,adopted,budget-fy2022-23-vol1,261,
Self Insurance Fund (601),8620,8620,2022-23,proposed,budget-fy2022-23-vol1,261,
Self Insurance Fund (601),8646,8646,2022-23,approved,budget-fy2022-23-vol1,261,
Self Insurance Fund (601),8646,8646,2022-23,adopted,budget-fy2022-23-vol1,261,
Internal Service Funds (600) [group total],9908,9908,2018-19,actual-budgetary,budget-fy2022-23-vol1,257,requirements from PDF p258 of same doc; group summary prints 9908/9066 where Fund 601 detail prints 9909/9067 (rounding)
Internal Service Funds (600) [group total],9066,9066,2019-20,actual-budgetary,budget-fy2022-23-vol1,257,
Internal Service Funds (600) [group total],7673,7673,2020-21,actual-budgetary,budget-fy2022-23-vol1,257,
Internal Service Funds (600) [group total],8565,8565,2021-22,adopted,budget-fy2022-23-vol1,257,
Internal Service Funds (600) [group total],8620,8620,2022-23,proposed,budget-fy2022-23-vol1,257,
Internal Service Funds (600) [group total],8646,8646,2022-23,approved,budget-fy2022-23-vol1,257,
Internal Service Funds (600) [group total],8646,8646,2022-23,adopted,budget-fy2022-23-vol1,257,
TOTAL ALL FUNDS,1491046,1491046,2018-19,actual-budgetary,budget-fy2022-23-vol1,140,"requirements from PDF p141 of same doc; 2020-21 resources total prints 2233098 vs requirements 2233100 (rounding); adopted total per Resolution 6520 p356 = $1,883,261,000"
TOTAL ALL FUNDS,1923579,1923579,2019-20,actual-budgetary,budget-fy2022-23-vol1,140,
TOTAL ALL FUNDS,2233098,2233100,2020-21,actual-budgetary,budget-fy2022-23-vol1,140,
TOTAL ALL FUNDS,2058410,2058410,2021-22,adopted,budget-fy2022-23-vol1,140,
TOTAL ALL FUNDS,1868806,1868806,2022-23,proposed,budget-fy2022-23-vol1,140,
TOTAL ALL FUNDS,1887316,1887316,2022-23,approved,budget-fy2022-23-vol1,140,
TOTAL ALL FUNDS,1883261,1883261,2022-23,adopted,budget-fy2022-23-vol1,140,
